mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.022017288208007812,0.0006137807892170514,0.002791309356689453,0.0004000409303468536,10,250,"{'max_depth': 10, 'max_features': 250}",0.6171875,0.53125,0.515625,0.546875,0.5078125,0.54375,0.03909373750999001,29
0.027478599548339845,0.0006058694808553762,0.002997303009033203,3.017087030050611e-05,10,500,"{'max_depth': 10, 'max_features': 500}",0.609375,0.5859375,0.5703125,0.6015625,0.6875,0.6109375,0.040564859330459904,7
0.03901729583740234,0.00035434152631619396,0.0029993534088134767,0.0006550862809909581,10,1000,"{'max_depth': 10, 'max_features': 1000}",0.59375,0.609375,0.578125,0.6015625,0.6171875,0.6,0.013441133229754104,12
0.05816969871520996,0.001564702998104463,0.0029860496520996093,8.870452870281477e-06,10,2000,"{'max_depth': 10, 'max_features': 2000}",0.625,0.6171875,0.59375,0.625,0.625,0.6171875,0.012103072956898178,5
0.08580293655395507,0.009567691263884768,0.0029729366302490234,1.1211860247324941e-05,10,3000,"{'max_depth': 10, 'max_features': 3000}",0.625,0.609375,0.5703125,0.6328125,0.6171875,0.6109375,0.021763106683100185,7
0.09969539642333984,0.0034493755371992696,0.002855873107910156,0.0002637661107641951,10,4000,"{'max_depth': 10, 'max_features': 4000}",0.609375,0.6015625,0.5859375,0.671875,0.6796875,0.6296875,0.03846416757840991,1
0.12620420455932618,0.012743540323327902,0.003236818313598633,0.001428225099974665,10,5000,"{'max_depth': 10, 'max_features': 5000}",0.625,0.6171875,0.578125,0.6484375,0.6484375,0.6234375,0.0258639771206982,3
0.12973346710205078,0.0020501135171621444,0.002983236312866211,2.0939938828593917e-05,10,5578,"{'max_depth': 10, 'max_features': 5578}",0.625,0.6015625,0.59375,0.65625,0.6484375,0.625,0.024705294220065465,2
0.024083948135375975,0.00048187075289804075,0.003791952133178711,0.000405702643512048,3,10,"{'max_depth': 3, 'max_features': 10}",0.5078125,0.5,0.5078125,0.515625,0.5,0.50625,0.005846339666834283,52
0.025246715545654295,0.0012773460054419823,0.0038168907165527345,0.00041734991874076133,3,15,"{'max_depth': 3, 'max_features': 15}",0.5,0.5,0.5,0.5234375,0.515625,0.5078125,0.009882117688026186,51
0.02462320327758789,0.0003412412220419974,0.0038913726806640626,0.0004952055384110501,3,25,"{'max_depth': 3, 'max_features': 25}",0.4921875,0.5234375,0.53125,0.546875,0.546875,0.528125,0.020131404260508006,43
0.02503366470336914,0.0006921588468859544,0.003431272506713867,0.00047962471606082435,3,50,"{'max_depth': 3, 'max_features': 50}",0.5078125,0.515625,0.5546875,0.4921875,0.546875,0.5234375,0.023696485762661094,46
0.025432348251342773,0.0005615103259447637,0.003988885879516601,2.5925211370598197e-06,3,100,"{'max_depth': 3, 'max_features': 100}",0.5390625,0.53125,0.5,0.5703125,0.59375,0.546875,0.03240068961457456,35
0.028308677673339843,0.00048245085283865353,0.0038004398345947267,0.0004008598835588986,3,250,"{'max_depth': 3, 'max_features': 250}",0.515625,0.5234375,0.5546875,0.5546875,0.4921875,0.528125,0.0240035804620894,43
0.030997705459594727,0.0006893930401136934,0.0042172431945800785,0.0004803210446513539,3,500,"{'max_depth': 3, 'max_features': 500}",0.59375,0.515625,0.5546875,0.5234375,0.6328125,0.5640625,0.04402813376126678,31
0.038498449325561526,0.0020535661589482983,0.003874969482421875,0.00022101334897857292,3,1000,"{'max_depth': 3, 'max_features': 1000}",0.6015625,0.578125,0.5078125,0.6015625,0.5546875,0.56875,0.0350780380010057,27
0.05003671646118164,0.0008473312632974668,0.004280185699462891,0.0004008777844596127,3,2000,"{'max_depth': 3, 'max_features': 2000}",0.5546875,0.578125,0.5546875,0.5859375,0.578125,0.5703125,0.01307281291459493,26
0.060949850082397464,0.0011868326037511002,0.004274129867553711,0.0003892563988206069,3,3000,"{'max_depth': 3, 'max_features': 3000}",0.5703125,0.5234375,0.5,0.53125,0.609375,0.546875,0.038590903235088965,35
0.0698369026184082,0.0014816590793611357,0.0039844512939453125,8.302993339416091e-06,3,4000,"{'max_depth': 3, 'max_features': 4000}",0.578125,0.5859375,0.578125,0.59375,0.6484375,0.596875,0.02642427269576213,12
0.082035493850708,0.003667115458012272,0.004376983642578125,0.0004931514254894869,3,5000,"{'max_depth': 3, 'max_features': 5000}",0.578125,0.5625,0.5859375,0.59375,0.4921875,0.5625,0.036643873123620545,32
0.12396950721740722,0.0037912796232995013,0.004306268692016601,0.0004116462415018602,3,8829,"{'max_depth': 3, 'max_features': 8829}",0.5859375,0.578125,0.5859375,0.53125,0.578125,0.571875,0.020610790559801435,24
0.024163532257080077,0.0002067732958186805,0.0036847591400146484,0.00039463997912762394,5,10,"{'max_depth': 5, 'max_features': 10}",0.5078125,0.53125,0.515625,0.5,0.4921875,0.509375,0.013441133229754104,50
0.024528360366821288,0.0005822157020110381,0.0036927223205566405,0.0006423298050586068,5,15,"{'max_depth': 5, 'max_features': 15}",0.53125,0.5546875,0.4765625,0.5703125,0.5546875,0.5375,0.03292391797766481,40
0.024593448638916014,0.0005086268121994958,0.0038274288177490234,0.0004325425739032302,5,25,"{'max_depth': 5, 'max_features': 25}",0.5078125,0.5078125,0.53125,0.5703125,0.5859375,0.540625,0.032173844190584375,38
