mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,features_count
0.0007955551147460938,0.00039777975806590325,0.0005989551544189453,0.0004890650831779067,0.75,{'alpha': 0.75},0.5234375,0.6015625,0.5859375,0.5625,0.5625,0.5671875,0.02642427269576213,1,15
0.0007934093475341797,0.0003967752050931265,0.00040254592895507815,0.0004930493587220191,0.85,{'alpha': 0.85},0.5234375,0.6015625,0.5859375,0.5625,0.5625,0.5671875,0.02642427269576213,1,15
0.0005860328674316406,0.00038153358759395747,0.0008492469787597656,0.00043459209088037693,1.0,{'alpha': 1.0},0.5234375,0.6015625,0.5859375,0.5625,0.5625,0.5671875,0.02642427269576213,1,15
0.0009950637817382813,6.5216960775867954e-06,0.0005980491638183594,0.0004883322046559801,0.1,{'alpha': 0.1},0.5625,0.5625,0.578125,0.5625,0.5625,0.565625,0.00625,2,25
0.0009963512420654297,8.529922399520072e-07,0.00039825439453125,0.0004877604001382846,0.15,{'alpha': 0.15},0.5625,0.5625,0.578125,0.5625,0.5625,0.565625,0.00625,2,25
0.0008276462554931641,0.00041705955190097404,0.0008031368255615234,0.00040168012189066934,0.25,{'alpha': 0.25},0.5625,0.5625,0.578125,0.5703125,0.5625,0.5671875,0.00625,1,25
0.0009957313537597655,2.271697462705996e-05,0.0005974769592285156,0.0004878573841035497,0.5,{'alpha': 0.5},0.5625,0.5546875,0.5546875,0.5703125,0.5390625,0.55625,0.010364452469860626,4,25
0.000635528564453125,0.0004474810877912865,0.0006037712097167969,0.0004930167076517301,0.75,{'alpha': 0.75},0.5546875,0.5625,0.5546875,0.546875,0.546875,0.553125,0.005846339666834283,5,25
0.0009988784790039063,5.872264607263588e-06,0.0005949497222900391,0.00048579592115356035,0.85,{'alpha': 0.85},0.5625,0.5390625,0.5546875,0.5390625,0.546875,0.5484375,0.009110862335695781,6,25
0.000807952880859375,0.00040455291090230944,0.0006127357482910156,0.0005910395325648647,1.0,{'alpha': 1.0},0.5546875,0.53125,0.5546875,0.546875,0.5546875,0.5484375,0.009110862335695781,6,25
0.0010059356689453125,2.7930774700905574e-05,0.0005877017974853516,0.0004818876780806923,0.1,{'alpha': 0.1},0.625,0.625,0.6328125,0.65625,0.5625,0.6203125,0.031093357409581874,7,50
0.000999307632446289,4.843125887143945e-06,0.0005954265594482422,0.0004861942501757718,0.15,{'alpha': 0.15},0.6328125,0.625,0.6328125,0.65625,0.5703125,0.6234375,0.028555729503901665,6,50
0.0010012149810791015,1.0387610476829608e-05,0.0003981590270996094,0.00048764380927635064,0.25,{'alpha': 0.25},0.6328125,0.6328125,0.6328125,0.671875,0.5625,0.6265625,0.03542432515235823,5,50
0.0009996891021728516,1.6359754074075453e-05,0.0005952835083007813,0.00048666093341425364,0.5,{'alpha': 0.5},0.6328125,0.6328125,0.6328125,0.6796875,0.5703125,0.6296875,0.03479852726768763,4,50
0.0010135650634765625,1.3597302322516394e-05,0.00038776397705078127,0.00047509309822633836,0.75,{'alpha': 0.75},0.6328125,0.625,0.6328125,0.6796875,0.609375,0.6359375,0.023489525591207667,1,50
0.0008193492889404297,0.00040978960914357735,0.0006542205810546875,0.0003604527170206236,0.85,{'alpha': 0.85},0.6328125,0.625,0.625,0.6796875,0.6171875,0.6359375,0.02242609389751144,1,50
0.0009973526000976562,1.3934745022013149e-06,0.00059814453125,0.0004883829957038617,1.0,{'alpha': 1.0},0.640625,0.625,0.625,0.671875,0.609375,0.634375,0.021194781197266466,3,50
0.0011957645416259765,0.00039834976196289067,0.0003986835479736328,0.0004882856365096232,0.1,{'alpha': 0.1},0.625,0.6796875,0.65625,0.59375,0.609375,0.6328125,0.03125,3,100
0.0010057926177978516,1.907801574332373e-05,0.0004761219024658203,0.0006022141826847462,0.15,{'alpha': 0.15},0.6171875,0.6875,0.65625,0.609375,0.609375,0.6359375,0.03109335740958187,2,100
0.0010012149810791015,2.1087095630202636e-05,0.0004015922546386719,0.0004918481467161668,0.25,{'alpha': 0.25},0.6171875,0.6875,0.6328125,0.6015625,0.625,0.6328125,0.029231698334171417,3,100
